,subname,task,directions,RMS_mean,RMS_ab_25,RMS_ab_25_invalid
0,100206,REST1,RL,0.10512918813208501,0.03666666666666667,False
1,100610,REST1,RL,0.1817281677355037,0.405,True
2,101006,REST1,RL,0.14037307332036641,0.16416666666666666,False
3,101309,REST1,RL,0.10403472378652077,0.04,False
4,101915,REST1,RL,0.19127649681884204,0.38083333333333336,True
5,102311,REST1,RL,0.15592060727772825,0.20166666666666666,False
6,102513,REST1,RL,0.11611492607137591,0.0625,False
7,103414,REST1,RL,0.16605987016121085,0.3016666666666667,True
8,103515,REST1,RL,0.19533598779615594,0.47,True
9,103818,REST1,RL,0.16356056964099294,0.27666666666666667,True
10,105115,REST1,RL,0.12447983856351695,0.12416666666666666,False
11,106016,REST1,RL,0.1956746112544361,0.4708333333333333,True
12,107321,REST1,RL,0.11011270451137901,0.07583333333333334,False
13,107422,REST1,RL,0.1164392558340181,0.065,False
14,108222,REST1,RL,0.14592586008334574,0.2075,False
15,109830,REST1,RL,0.1362548581502177,0.10333333333333333,False
16,110007,REST1,RL,0.18301497659849716,0.395,True
17,110411,REST1,RL,0.11281577820195042,0.07583333333333334,False
18,110613,REST1,RL,0.15272001152726,0.185,False
19,112112,REST1,RL,0.138449922687175,0.1625,False
20,112314,REST1,RL,0.12365059587169322,0.09,False
21,112920,REST1,RL,0.1710609633117381,0.3383333333333333,True
22,113619,REST1,RL,0.13231507689799354,0.1025,False
23,113922,REST1,RL,0.12996603704933699,0.13,False
24,116524,REST1,RL,0.2543571588828576,0.5875,True
25,118124,REST1,RL,0.17565948479511817,0.32416666666666666,True
26,118528,REST1,RL,0.12295561737383008,0.08416666666666667,False
27,119126,REST1,RL,0.14331740660546416,0.16083333333333333,False
28,121416,REST1,RL,0.1546581155268914,0.275,True
29,122822,REST1,RL,0.1459972263718753,0.21333333333333335,False
30,123117,REST1,RL,0.26314267847909706,0.66,True
31,124422,REST1,RL,0.12205940820324758,0.1,False
32,124826,REST1,RL,0.1160908156970984,0.07666666666666666,False
33,127630,REST1,RL,0.16130227443975398,0.2966666666666667,True
34,128632,REST1,RL,0.12796886417106987,0.09333333333333334,False
35,129028,REST1,RL,0.16041723918021547,0.2991666666666667,True
36,129129,REST1,RL,0.18021354646023263,0.34833333333333333,True
37,129634,REST1,RL,0.0875063586321073,0.034166666666666665,False
38,130013,REST1,RL,0.13074207056645212,0.10583333333333333,False
39,130316,REST1,RL,0.19486868018054715,0.4166666666666667,True
40,130417,REST1,RL,0.19894076446192757,0.4691666666666667,True
41,131217,REST1,RL,0.1502919813937513,0.26,True
42,131823,REST1,RL,0.11176426159870924,0.0925,False
43,132017,REST1,RL,0.1458220517446949,0.225,False
44,133019,REST1,RL,0.18426631554311038,0.3308333333333333,True
45,134021,REST1,RL,0.10229480654283069,0.034166666666666665,False
46,134223,REST1,RL,0.14063328980445342,0.15833333333333333,False
47,134425,REST1,RL,0.10732784265987164,0.034166666666666665,False
48,134728,REST1,RL,0.18027531179318118,0.3566666666666667,True
49,135528,REST1,RL,0.11423743954785517,0.06333333333333334,False
50,135730,REST1,RL,0.1378121408094669,0.135,False
51,135932,REST1,RL,0.12880451797364126,0.15166666666666667,False
52,136833,REST1,RL,0.17097302068151568,0.31166666666666665,True
53,137229,REST1,RL,0.18313623670766063,0.445,True
54,137633,REST1,RL,0.1489197058155354,0.17416666666666666,False
55,138231,REST1,RL,0.1468926096770439,0.19333333333333333,False
56,139233,REST1,RL,0.18443686728616354,0.4058333333333333,True
57,139637,REST1,RL,0.13534320245027578,0.17583333333333334,False
58,139839,REST1,RL,0.13772185558146663,0.145,False
59,140117,REST1,RL,0.1011685824153708,0.05,False
60,141119,REST1,RL,0.2613724201003086,0.5941666666666666,True
61,141826,REST1,RL,0.21663889852632967,0.57,True
62,144125,REST1,RL,0.28033400014376914,0.5666666666666667,True
63,144731,REST1,RL,0.22118946210835622,0.515,True
64,146129,REST1,RL,0.1423378416689481,0.1775,False
65,146432,REST1,RL,0.121949883483317,0.055,False
66,146533,REST1,RL,0.12489167832359131,0.05583333333333333,False
67,146937,REST1,RL,0.12138276139421524,0.08083333333333333,False
68,148133,REST1,RL,0.1421099049098531,0.17333333333333334,False
69,149236,REST1,RL,0.10286537114454318,0.019166666666666665,False
70,149337,REST1,RL,0.1052878011193693,0.0575,False
71,149539,REST1,RL,0.15644633757802928,0.21416666666666667,False
72,149842,REST1,RL,0.12535744516740935,0.1,False
73,150625,REST1,RL,0.13049434894190917,0.1075,False
74,150928,REST1,RL,0.11018317659049699,0.075,False
75,151627,REST1,RL,0.12970529831363223,0.11666666666666667,False
76,152831,REST1,RL,0.10369642584661264,0.024166666666666666,False
77,153227,REST1,RL,0.1626787611491325,0.2375,False
78,154229,REST1,RL,0.19295664803930765,0.4691666666666667,True
79,154532,REST1,RL,0.16925382034296332,0.3491666666666667,True
80,154734,REST1,RL,0.09325839279199014,0.03666666666666667,False
81,154835,REST1,RL,0.14803233493965165,0.1725,False
82,154936,REST1,RL,0.14609132672866118,0.22833333333333333,False
83,155635,REST1,RL,0.1673280431078546,0.345,True
84,155938,REST1,RL,0.10722899721050486,0.03333333333333333,False
85,157942,REST1,RL,0.16588351313537256,0.31,True
86,158035,REST1,RL,0.14522341740118952,0.16666666666666666,False
87,159239,REST1,RL,0.13509679808543212,0.12833333333333333,False
88,159340,REST1,RL,0.19980307877245684,0.5216666666666666,True
89,159441,REST1,RL,0.1768327371514639,0.26916666666666667,True
90,160830,REST1,RL,0.15297086645774066,0.19416666666666665,False
91,161731,REST1,RL,0.1931126484712964,0.42,True
92,162329,REST1,RL,0.17553623641212243,0.30916666666666665,True
93,162733,REST1,RL,0.15358505671141223,0.26,True
94,164030,REST1,RL,0.09819527104207762,0.020833333333333332,False
95,164939,REST1,RL,0.17191642340516533,0.37833333333333335,True
96,167238,REST1,RL,0.15836184771963532,0.31333333333333335,True
97,168240,REST1,RL,0.2727457351856365,0.69,True
98,169949,REST1,RL,0.1408968225216432,0.18666666666666668,False
99,170631,REST1,RL,0.20749007107128842,0.4191666666666667,True
100,171633,REST1,RL,0.180525103928959,0.3641666666666667,True
101,172938,REST1,RL,0.15995199359912085,0.3258333333333333,True
102,173435,REST1,RL,0.0982641485375778,0.021666666666666667,False
103,173536,REST1,RL,0.11911595504731814,0.11916666666666667,False
104,173738,REST1,RL,0.15304487981921894,0.22666666666666666,False
105,173839,REST1,RL,0.16344971942011066,0.2783333333333333,True
106,173940,REST1,RL,0.11737404274150721,0.09083333333333334,False
107,174437,REST1,RL,0.10776774609846844,0.05333333333333334,False
108,175035,REST1,RL,0.25079988321924407,0.6125,True
109,175237,REST1,RL,0.1028817740451997,0.050833333333333335,False
110,175338,REST1,RL,0.13728537953106418,0.13,False
111,175439,REST1,RL,0.21325279026746158,0.5508333333333333,True
112,175742,REST1,RL,0.12600298130915172,0.06416666666666666,False
113,176037,REST1,RL,0.120731207321459,0.07416666666666667,False
114,178950,REST1,RL,0.13971292918427997,0.20333333333333334,False
115,179346,REST1,RL,0.1010953991153506,0.03833333333333333,False
116,181131,REST1,RL,0.1908391284521259,0.45166666666666666,True
117,181232,REST1,RL,0.12389350721454294,0.08083333333333333,False
118,183034,REST1,RL,0.13613355652610817,0.18083333333333335,False
119,185139,REST1,RL,0.16120572983581502,0.2991666666666667,True
120,185442,REST1,RL,0.13374101831509277,0.13666666666666666,False
121,186141,REST1,RL,0.17300406714171057,0.3575,True
122,186444,REST1,RL,0.12628522814725454,0.10916666666666666,False
123,187345,REST1,RL,0.08421603497444778,0.0033333333333333335,False
124,188448,REST1,RL,0.08895673556774651,0.015,False
125,188549,REST1,RL,0.0941789124492891,0.009166666666666667,False
126,189450,REST1,RL,0.20503562654247165,0.4483333333333333,True
127,191033,REST1,RL,0.12516379240883513,0.10416666666666667,False
128,192035,REST1,RL,0.10126972132181876,0.019166666666666665,False
129,192136,REST1,RL,0.09111527245318864,0.008333333333333333,False
130,192843,REST1,RL,0.12198585306015958,0.0675,False
131,194645,REST1,RL,0.0994692193735534,0.056666666666666664,False
132,194746,REST1,RL,0.1756800608488465,0.2866666666666667,True
133,195445,REST1,RL,0.12669685423787372,0.0925,False
134,195849,REST1,RL,0.16466228767036767,0.29083333333333333,True
135,195950,REST1,RL,0.14461616391196894,0.23833333333333334,False
136,197348,REST1,RL,0.27609282833738213,0.6808333333333333,True
137,198855,REST1,RL,0.09691903052946294,0.03,False
138,199453,REST1,RL,0.1225426472861166,0.10083333333333333,False
139,199958,REST1,RL,0.14347841766775346,0.19333333333333333,False
140,200008,REST1,RL,0.1917082253899564,0.475,True
141,200311,REST1,RL,0.12707216891194023,0.125,False
142,200614,REST1,RL,0.17047682398606348,0.3675,True
143,201111,REST1,RL,0.11399728017525963,0.055,False
144,202719,REST1,RL,0.10459012182438904,0.019166666666666665,False
145,203418,REST1,RL,0.11636302676630916,0.08166666666666667,False
146,203923,REST1,RL,0.15396431437941513,0.20166666666666666,False
147,204319,REST1,RL,0.14491060669328826,0.1975,False
148,204521,REST1,RL,0.14392001906152255,0.18,False
149,204622,REST1,RL,0.15288799688189367,0.1975,False
150,205119,REST1,RL,0.1383283899453654,0.15166666666666667,False
151,206222,REST1,RL,0.11693004347889399,0.11916666666666667,False
152,208125,REST1,RL,0.07864334638083145,0.004166666666666667,False
153,208327,REST1,RL,0.1178037971669994,0.0925,False
154,209228,REST1,RL,0.1312529737985295,0.13583333333333333,False
155,210415,REST1,RL,0.19646326514757192,0.43666666666666665,True
156,211215,REST1,RL,0.10687862548625925,0.04083333333333333,False
157,211316,REST1,RL,0.13348926710927628,0.14916666666666667,False
158,211922,REST1,RL,0.13348027002099086,0.185,False
159,212015,REST1,RL,0.11599953957068006,0.04583333333333333,False
160,212419,REST1,RL,0.163316603857275,0.2875,True
161,213421,REST1,RL,0.17616113405199593,0.3283333333333333,True
162,214019,REST1,RL,0.14997102460003067,0.22916666666666666,False
163,214221,REST1,RL,0.2019456760689854,0.3908333333333333,True
164,214423,REST1,RL,0.22025520616818506,0.44666666666666666,True
165,214524,REST1,RL,0.10629841874757437,0.021666666666666667,False
166,220721,REST1,RL,0.11918179136983198,0.07916666666666666,False
167,221319,REST1,RL,0.16160431947145495,0.29583333333333334,True
168,227432,REST1,RL,0.20324146836792234,0.4425,True
169,228434,REST1,RL,0.14895238921711929,0.13416666666666666,False
170,248339,REST1,RL,0.12001793644397964,0.1075,False
171,250932,REST1,RL,0.09986576104450613,0.049166666666666664,False
172,255639,REST1,RL,0.14357223424997356,0.1825,False
173,257542,REST1,RL,0.13329126902592686,0.15583333333333332,False
174,257845,REST1,RL,0.15767190631084974,0.25666666666666665,True
175,268850,REST1,RL,0.09766728741901927,0.03,False
176,285446,REST1,RL,0.10581835292093948,0.035833333333333335,False
177,293748,REST1,RL,0.21270783376325916,0.5358333333333334,True
178,297655,REST1,RL,0.1305377670874298,0.10083333333333333,False
179,298051,REST1,RL,0.26635993546450276,0.6483333333333333,True
180,299154,REST1,RL,0.12648276584869728,0.13916666666666666,False
181,300618,REST1,RL,0.08046135727861173,0.016666666666666666,False
182,303119,REST1,RL,0.18844868642562052,0.42083333333333334,True
183,304727,REST1,RL,0.17317238556860393,0.32666666666666666,True
184,308331,REST1,RL,0.2131614299384677,0.49416666666666664,True
185,309636,REST1,RL,0.09741572099517341,0.013333333333333334,False
186,310621,REST1,RL,0.1267606349247221,0.0625,False
187,316633,REST1,RL,0.0928914427467091,0.03,False
188,316835,REST1,RL,0.12785698622822972,0.0825,False
189,318637,REST1,RL,0.1451659640379464,0.205,False
190,336841,REST1,RL,0.11171103272089766,0.06666666666666667,False
191,361941,REST1,RL,0.09810149989717983,0.041666666666666664,False
192,371843,REST1,RL,0.2254000175373103,0.48333333333333334,True
193,377451,REST1,RL,0.11745602447021199,0.07416666666666667,False
194,380036,REST1,RL,0.1526163501618047,0.2758333333333333,True
195,381038,REST1,RL,0.13057742436353773,0.17666666666666667,False
196,386250,REST1,RL,0.09594252181777368,0.010833333333333334,False
197,387959,REST1,RL,0.16970966941717,0.31583333333333335,True
198,393247,REST1,RL,0.22954232577531694,0.5191666666666667,True
199,393550,REST1,RL,0.13964914344256496,0.1625,False
200,395251,REST1,RL,0.13250582020910595,0.07416666666666667,False
201,395756,REST1,RL,0.108187557301342,0.028333333333333332,False
202,397154,REST1,RL,0.1444293264652868,0.2125,False
203,397760,REST1,RL,0.19698452405468292,0.4141666666666667,True
204,412528,REST1,RL,0.11262099670757375,0.056666666666666664,False
205,414229,REST1,RL,0.155132030545905,0.24833333333333332,False
206,432332,REST1,RL,0.1285434981944121,0.10583333333333333,False
207,433839,REST1,RL,0.206403884129666,0.48833333333333334,True
208,436845,REST1,RL,0.16095441726510443,0.3016666666666667,True
209,449753,REST1,RL,0.16575621918184244,0.24333333333333335,False
210,459453,REST1,RL,0.13809667149276308,0.19583333333333333,False
211,479762,REST1,RL,0.08221545248567048,0.005833333333333334,False
212,495255,REST1,RL,0.19082098916680376,0.37583333333333335,True
213,499566,REST1,RL,0.15288130270254507,0.245,False
214,510326,REST1,RL,0.1325189616163725,0.12833333333333333,False
215,517239,REST1,RL,0.15430932271856226,0.22083333333333333,False
216,520228,REST1,RL,0.12310344410365515,0.07583333333333334,False
217,524135,REST1,RL,0.09955275458568634,0.025,False
218,525541,REST1,RL,0.14698174496866184,0.2425,False
219,529549,REST1,RL,0.1453719540870174,0.20333333333333334,False
220,529953,REST1,RL,0.11601805914166331,0.0825,False
221,530635,REST1,RL,0.16303423259324987,0.245,False
222,553344,REST1,RL,0.10116615688984093,0.034166666666666665,False
223,555651,REST1,RL,0.14554070464983182,0.21916666666666668,False
224,559053,REST1,RL,0.16366193937662052,0.2825,True
225,561444,REST1,RL,0.16313451850824048,0.31,True
226,567052,REST1,RL,0.08067495128304603,0.0016666666666666668,False
227,567961,REST1,RL,0.09978748251898084,0.015833333333333335,False
228,568963,REST1,RL,0.08132468412773664,0.0075,False
229,571144,REST1,RL,0.11333033462287664,0.07,False
230,573249,REST1,RL,0.11286311297373411,0.085,False
231,580044,REST1,RL,0.16464923931868083,0.2825,True
232,580751,REST1,RL,0.15796800002153816,0.26666666666666666,True
233,581349,REST1,RL,0.18371658333007726,0.41083333333333333,True
234,587664,REST1,RL,0.1274215098610533,0.08,False
235,597869,REST1,RL,0.13539605128918183,0.135,False
236,598568,REST1,RL,0.14823631403448412,0.2025,False
237,599065,REST1,RL,0.08963827756616276,0.009166666666666667,False
238,599671,REST1,RL,0.13597317791353464,0.12916666666666668,False
239,604537,REST1,RL,0.16100730896216062,0.17166666666666666,False
240,611938,REST1,RL,0.1323532857550596,0.13583333333333333,False
241,616645,REST1,RL,0.12706284877277285,0.03833333333333333,False
242,618952,REST1,RL,0.15251196515761398,0.15916666666666668,False
243,622236,REST1,RL,0.1428254914206048,0.1425,False
244,627549,REST1,RL,0.14196315540527069,0.18166666666666667,False
245,638049,REST1,RL,0.1409485673079359,0.1475,False
246,645450,REST1,RL,0.1122661717397808,0.04666666666666667,False
247,654350,REST1,RL,0.14072101097302095,0.1775,False
248,654754,REST1,RL,0.1379925229657409,0.18083333333333335,False
249,656253,REST1,RL,0.12238095677659322,0.06916666666666667,False
250,656657,REST1,RL,0.15373662996478604,0.19916666666666666,False
251,657659,REST1,RL,0.10486065779384808,0.030833333333333334,False
252,660951,REST1,RL,0.12064286854859446,0.0925,False
253,663755,REST1,RL,0.11868454227026462,0.08666666666666667,False
254,664757,REST1,RL,0.12957624403428372,0.11083333333333334,False
255,667056,REST1,RL,0.15878333881908663,0.18333333333333332,False
256,671855,REST1,RL,0.20763160455588683,0.5108333333333334,True
257,672756,REST1,RL,0.2106057700564857,0.4891666666666667,True
258,679568,REST1,RL,0.07557524407015109,0.0033333333333333335,False
259,679770,REST1,RL,0.11669550810835223,0.0625,False
260,690152,REST1,RL,0.14384866400352558,0.2175,False
261,695768,REST1,RL,0.24563074987276282,0.6433333333333333,True
262,702133,REST1,RL,0.18920314515420705,0.43666666666666665,True
263,715950,REST1,RL,0.13584817743481434,0.14833333333333334,False
264,724446,REST1,RL,0.11731091042020698,0.06416666666666666,False
265,725751,REST1,RL,0.14658183337730712,0.17916666666666667,False
266,729557,REST1,RL,0.15079707924123184,0.215,False
267,731140,REST1,RL,0.14560432144351457,0.18583333333333332,False
268,735148,REST1,RL,0.2406171315184764,0.6025,True
269,744553,REST1,RL,0.14109822737052327,0.18166666666666667,False
270,748258,REST1,RL,0.14494283166529082,0.21,False
271,749058,REST1,RL,0.08589883250181295,0.009166666666666667,False
272,753150,REST1,RL,0.09062072687538096,0.0125,False
273,756055,REST1,RL,0.17370312328274312,0.26,True
274,769064,REST1,RL,0.13757495730012148,0.15666666666666668,False
275,770352,REST1,RL,0.09803594087572325,0.01,False
276,782561,REST1,RL,0.11229608371655628,0.09333333333333334,False
277,789373,REST1,RL,0.0890069558639479,0.020833333333333332,False
278,800941,REST1,RL,0.20956505242781565,0.4683333333333333,True
279,803240,REST1,RL,0.11198584588680814,0.0525,False
280,812746,REST1,RL,0.14459185327131902,0.11916666666666667,False
281,816653,REST1,RL,0.13400852249758263,0.10666666666666667,False
282,820745,REST1,RL,0.08954124792139087,0.016666666666666666,False
283,825048,REST1,RL,0.11762835420808453,0.058333333333333334,False
284,833148,REST1,RL,0.09488901705917693,0.03333333333333333,False
285,835657,REST1,RL,0.10959960971669183,0.07916666666666666,False
286,837560,REST1,RL,0.10077468577717046,0.02,False
287,849264,REST1,RL,0.1381167927181315,0.16333333333333333,False
288,849971,REST1,RL,0.12301807392439741,0.06416666666666666,False
289,865363,REST1,RL,0.15619338629395388,0.2275,False
290,872562,REST1,RL,0.10249387697078043,0.0225,False
291,877269,REST1,RL,0.12436226487952974,0.0675,False
292,889579,REST1,RL,0.19868825457820954,0.465,True
293,894067,REST1,RL,0.1531657477153137,0.24916666666666668,False
294,894774,REST1,RL,0.1474947005913982,0.24916666666666668,False
295,898176,REST1,RL,0.2117569649987997,0.48833333333333334,True
296,899885,REST1,RL,0.07805070143536176,0.009166666666666667,False
297,901442,REST1,RL,0.11092595255981873,0.06916666666666667,False
298,907656,REST1,RL,0.1735168607776031,0.365,True
299,912447,REST1,RL,0.13000813411745135,0.10166666666666667,False
300,922854,REST1,RL,0.2417411914751075,0.6525,True
301,923755,REST1,RL,0.1884706373673091,0.44083333333333335,True
302,930449,REST1,RL,0.16595930452320248,0.31,True
303,952863,REST1,RL,0.15794099552608215,0.2633333333333333,True
304,955465,REST1,RL,0.19232599415256832,0.43166666666666664,True
305,957974,REST1,RL,0.0790733938276056,0.005833333333333334,False
306,966975,REST1,RL,0.10323628242608483,0.05333333333333334,False
307,987983,REST1,RL,0.12122231386656823,0.06833333333333333,False
308,993675,REST1,RL,0.13497773110985892,0.15,False
309,994273,REST1,RL,0.1817209980944204,0.3416666666666667,True
310,100206,REST1,LR,0.09990804779581888,0.04416666666666667,False
311,100610,REST1,LR,0.1626174467099401,0.30416666666666664,True
312,101006,REST1,LR,0.17381874761858238,0.34833333333333333,True
313,101309,REST1,LR,0.12014018533012849,0.08333333333333333,False
314,101915,REST1,LR,0.1815224141703982,0.3491666666666667,True
315,102311,REST1,LR,0.16280586207696368,0.24333333333333335,False
316,102513,REST1,LR,0.09897518685421591,0.051666666666666666,False
317,103414,REST1,LR,0.13508290224407654,0.15666666666666668,False
318,103515,REST1,LR,0.21815040539408528,0.445,True
319,103818,REST1,LR,0.18853714778669883,0.4066666666666667,True
320,105115,REST1,LR,0.12287110620574358,0.11666666666666667,False
321,106016,REST1,LR,0.1620448513927911,0.3225,True
322,107321,REST1,LR,0.13083346738483337,0.15,False
323,107422,REST1,LR,0.1192416950571906,0.07916666666666666,False
324,108222,REST1,LR,0.12738619303608606,0.1325,False
325,109830,REST1,LR,0.1544711793208244,0.2075,False
326,110007,REST1,LR,0.18163608873470283,0.3975,True
327,110411,REST1,LR,0.13491901013425764,0.12666666666666668,False
328,110613,REST1,LR,0.1421797780420241,0.21916666666666668,False
329,112112,REST1,LR,0.1279492668280953,0.15333333333333332,False
330,112314,REST1,LR,0.10245613455820572,0.035833333333333335,False
331,112920,REST1,LR,0.14925429934899762,0.245,False
332,113619,REST1,LR,0.15154904420578044,0.2608333333333333,True
333,113922,REST1,LR,0.1843873879593918,0.30916666666666665,True
334,116524,REST1,LR,0.22633280482002044,0.4708333333333333,True
335,118124,REST1,LR,0.157741521719501,0.22833333333333333,False
336,118528,REST1,LR,0.12748512071123747,0.125,False
337,119126,REST1,LR,0.12625457587581826,0.11583333333333333,False
338,121416,REST1,LR,0.17171925950602676,0.3675,True
339,122822,REST1,LR,0.17472245305795525,0.39166666666666666,True
340,123117,REST1,LR,0.27864564274287373,0.7091666666666666,True
341,124422,REST1,LR,0.12008102812032656,0.08666666666666667,False
342,124826,REST1,LR,0.10306008927893155,0.0225,False
343,127630,REST1,LR,0.20942460084467973,0.4925,True
344,128632,REST1,LR,0.12372025011531498,0.095,False
345,129028,REST1,LR,0.15438793730492908,0.295,True
346,129129,REST1,LR,0.14869274308039598,0.2275,False
347,129634,REST1,LR,0.09050570538884574,0.051666666666666666,False
348,130013,REST1,LR,0.13676045919836283,0.12,False
349,130316,REST1,LR,0.20322323786840854,0.4525,True
350,130417,REST1,LR,0.18346071013233492,0.38333333333333336,True
351,131217,REST1,LR,0.1315946131981207,0.1425,False
352,131823,REST1,LR,0.11669595031628788,0.1075,False
353,132017,REST1,LR,0.15001181485036577,0.235,False
354,133019,REST1,LR,0.1536789213289082,0.23583333333333334,False
355,134021,REST1,LR,0.11038391434980431,0.06416666666666666,False
356,134223,REST1,LR,0.15399165985630683,0.195,False
357,134425,REST1,LR,0.16676858545631187,0.22833333333333333,False
358,134728,REST1,LR,0.17285849636495504,0.36666666666666664,True
359,135528,REST1,LR,0.11963387635313723,0.11083333333333334,False
360,135730,REST1,LR,0.15828063157033584,0.24083333333333334,False
361,135932,REST1,LR,0.11534073619929756,0.0825,False
362,136833,REST1,LR,0.1837196555740765,0.39,True
363,137229,REST1,LR,0.18082363934733917,0.43083333333333335,True
364,137633,REST1,LR,0.13631454801504014,0.13666666666666666,False
365,138231,REST1,LR,0.17851137570073267,0.3408333333333333,True
366,139233,REST1,LR,0.18851111392667577,0.435,True
367,139637,REST1,LR,0.1378776413812622,0.18833333333333332,False
368,139839,REST1,LR,0.11274115235515665,0.013333333333333334,False
369,140117,REST1,LR,0.10803620530418735,0.07833333333333334,False
370,141119,REST1,LR,0.20031270641805013,0.44083333333333335,True
371,141826,REST1,LR,0.21990651710353978,0.5625,True
372,144125,REST1,LR,0.22224946905380685,0.5183333333333333,True
373,144731,REST1,LR,0.25453455349553966,0.6125,True
374,146129,REST1,LR,0.13202834102048439,0.1325,False
375,146432,REST1,LR,0.12329617869814158,0.11333333333333333,False
376,146533,REST1,LR,0.11481313568877345,0.04666666666666667,False
377,146937,REST1,LR,0.1563486220710799,0.2866666666666667,True
378,148133,REST1,LR,0.1268576581242328,0.1225,False
379,149236,REST1,LR,0.11236370309555885,0.05,False
380,149337,REST1,LR,0.09019098733444716,0.03,False
381,149539,REST1,LR,0.15875269337767983,0.21166666666666667,False
382,149842,REST1,LR,0.12060604893908082,0.08,False
383,150625,REST1,LR,0.12485095449494824,0.08083333333333333,False
384,150928,REST1,LR,0.08992470375972768,0.05,False
385,151627,REST1,LR,0.10934154066026487,0.0275,False
386,152831,REST1,LR,0.14402659800867507,0.19833333333333333,False
387,153227,REST1,LR,0.13444813055601498,0.0925,False
388,154229,REST1,LR,0.1909065870794155,0.43,True
389,154532,REST1,LR,0.1633324908475734,0.24666666666666667,False
390,154734,REST1,LR,0.14452490623409167,0.20083333333333334,False
391,154835,REST1,LR,0.12890472695990798,0.09333333333333334,False
392,154936,REST1,LR,0.15185488686193674,0.2658333333333333,True
393,155635,REST1,LR,0.18819533230028387,0.42333333333333334,True
394,155938,REST1,LR,0.1179272001847717,0.10333333333333333,False
395,157942,REST1,LR,0.18624408968120953,0.38333333333333336,True
396,158035,REST1,LR,0.12421971369600487,0.04083333333333333,False
397,159239,REST1,LR,0.1481441402682384,0.2075,False
398,159340,REST1,LR,0.2207366344054953,0.5575,True
399,159441,REST1,LR,0.1717184043156945,0.2758333333333333,True
400,160830,REST1,LR,0.21778412690296756,0.4083333333333333,True
401,161731,REST1,LR,0.1913664407907235,0.42333333333333334,True
402,162329,REST1,LR,0.24689849343246162,0.5716666666666667,True
403,162733,REST1,LR,0.13795281899717185,0.18416666666666667,False
404,164030,REST1,LR,0.09372464116194693,0.0175,False
405,164939,REST1,LR,0.19104876590984715,0.44583333333333336,True
406,167238,REST1,LR,0.21673896727365094,0.43833333333333335,True
407,168240,REST1,LR,0.2561876027091816,0.6558333333333334,True
408,169949,REST1,LR,0.14269776614429217,0.19333333333333333,False
409,170631,REST1,LR,0.19628202795356783,0.4275,True
410,171633,REST1,LR,0.19437673475019882,0.4075,True
411,172938,REST1,LR,0.224694465580248,0.5416666666666666,True
412,173435,REST1,LR,0.09455041809851422,0.015833333333333335,False
413,173536,REST1,LR,0.12692721314715535,0.14833333333333334,False
414,173738,REST1,LR,0.1551626611055048,0.24666666666666667,False
